dbType,assignType,tutor,cDNo,authorCode,articleUrl,title,quoteCount,publishTime,downloadCount,dbSource,fileName,allowDownload,author,range,articleStatus,tutorCode,year,content,keyWord,originate,zTCode,summary,magaAssignCode,period,deptCode,dbName,arcitleType,versionCode,articleAssignCode,publishPYName,publishCode
CJFD,,,cajtmp,000039426010;000022556363;000029544943;000048687487;000052992675,,可解释~#@机器学习@#~在油气领域人工智能中的研究进展与应用展望,0,2024-09-23,277,期刊,TRQG202409011,True,闵超;文国权;李小刚;赵大志;李昆成;,,,,2024,,油气田勘探开发;人工智能;机器学习;可解释机器学习,天然气工业,B019;I140;,"0 引言
当前我国油气对外依存度较高，为保障国家能源安全，从战略层面上需要加强油气资源的勘探开发。但是，随着常规油气的日益枯竭，剩余的可采油气资源大部分属于较难开采的非常规油气[1-2]。在这一背景下，人工智能与油气工业的深度融合，已成为推动油田企业实现规模增产的重要手段[3]。与数值模拟和实验研究等方法相比，通过拟合无法使用机理模型描述的油气田开发数据方式，基于~#@机器学习@#~（Machi...",,09,0184187;,CJFDAUTO,期刊,,,TRQG,
CJFD,,,cajtmp,000047988517;000036958757,,公共管理研究中的~#@机器学习@#~方法——原理、应用及挑战,0,2024-09-13,843,期刊,GGZC202405011,True,刘闻博;王丛虎;,,,,2024,,公共管理研究;;研究方法;;机器学习;;公共价值,公共管理与政策评论,G110;I140;,"一、引言
当下的社会正处于一个数字爆炸、信息爆炸的时代，党的二十大报告更是提出了加快建设“网络中国、数字中国”的迫切要求。在第四次科技革命中，芯片产业的迅速发展与互联网技术对人们日常生活的渗透使得~#@机器学习@#~蓬勃生长：一方面，高算力低成本的GPU(图形处理器)使人工智能的生产与应用脱离企业，走向民间，~#@机器学习@#~不再是一种高门槛的技术；另一方面，数字经济发展孕育的海量数据也为~#...",,05,0198015;,CJFDAUTO,期刊,,,GGZC,
CJFD,,,cajtmp,000054289399;000032831796;000024819192;000041609824;000031071456;000064588318,,新质生产力时代要求背景下的大学~#@机器学习@#~课程探索与研究,0,2024-09-10,4,期刊,CXYL202417013,True,焦文华;李丽娟;张印强;梅雪;王莉;刘芃;,,,,2024,,新质生产力;创新人才;产教融合;机器学习,创新创业理论研究与实践,H131;I140;,当今社会正处于技术驱动的快速发展时期，人工智能和~#@机器学习@#~等前沿技术成为推动社会进步和经济增长的关键驱动力[1-2]，培养具备~#@机器学习@#~知识和技能的大学生，成了社会进步和产业发展的共同需求[3-5]。与此同时，习近平总书记提出了发展新质生产力的时代要求，大力发展新质生产力是我国在新发展阶段构筑国家竞争新优势的战略选择[6-7]，这对当代大学生提出了更高的要求。因此，如何培养大学...,,17,0011979;,CJFDAUTO,期刊,,,CXYL,
CJFD,,,cajtmp,000063976815;000063976816;000014242153;000036603717;000046815096,,~#@机器学习@#~强化的电化学阻抗谱技术及其在锂离子电池研究中的应用,0,2024-09-03 09:22,314,期刊,CNKX202409007,True,何智峰;陶远哲;胡泳钢;王其聪;杨勇;,,,,2024,,锂离子电池;电化学阻抗谱;机器学习;寿命预测,储能科学与技术,C042;I140;,"锂离子电池因其高能量密度和长循环寿命，在全球能源结构转型和现代储能技术应用中扮演了核心角色。随着电气化的不断发展，动力电池和储能电池的需求激增[1],2022年电动车销量超过1000万辆，电动汽车销量持续增长，到2024年可能达到约1700万辆，占全球销量汽车的五分之一以上[2]。在实际使用过程中人们不仅对锂离子电池的性能提出更高要求，更对电池使用的安全性和可靠性形成广泛关注[3-4]。在可靠性研...",,09,0125037;,CJFDAUTO,期刊,,,CNKX,
CJFD,,,SCTA2409,000062667972;000060967979;000057114467;000042108890;000042784147,,基于~#@机器学习@#~的时空出行选择行为研究综述与展望,0,2024-08-28,422,期刊,DLKJ202408014,True,王江波;连芝锐;冯涛;唐立;刘锴;,,,,2024,,时空出行选择行为;;非集计模型;;机器学习;;可解释性,地理科学进展,C034;I140;,时空出行选择行为模型是交通需求分析与预测的基石，为交通系统政策制定、运营管理和系统优化提供了可靠的决策支撑。20世纪60年代，McFadden[1]将可操作性极强的Logit模型和个人随机效用理论结合，时空出行选择行为的建模方法得到迅速发展。20世纪70年代，经典离散选择模型在旧金山湾沿岸高速铁道需求预测中的成功应用，使得非集计分析模型和方法在快速城市化进程中大显身手[2]。在随后的几十年中，学者...,,08,0222286;0141372;0265106;,CJFDLAST2024,期刊,,,DLKJ,
CJFD,,,cajtmp,000017695025;000019928677;000029289426,,~#@机器学习@#~在无线电领域的典型应用与挑战,0,2024-08-26,15,期刊,ZWDG202408035,True,黎璐玫;王心尘;王晓冬;,,,,2024,,机器学习;;无线电;;应用;;挑战,中国无线电,I136;I140;,"1~#@机器学习@#~
~#@机器学习@#~是一种通过数据训练模型，并通过模型进行预测和决策的技术，主要包括数据采集、数据探索和预处理、模型的建立和训练、模型评估与优化四个基本步骤。按照不同的分类方法，~#@机器学习@#~算法有多种分类结果，深度~#@学习@#~是~#@机器学习@#~算法中通过使用多层神经网络，处理大量复杂的、非结构化数据的新领域，在某些任务上的表现超越了传统的~#@机器学习@#...",,08,0462775;,CJFDAUTO,期刊,,,ZWDG,
CJFD,,,cajtmp,000064041277,,量子~#@机器学习@#~算法研究概述,0,2024-08-25,162,期刊,TXSJ202408047,True,侯敏;,,,,2024,,机器学习;量子机器学习;量子计算;人工智能,通讯世界,A005;I140;,"0 引言
随着信息技术的飞速发展和大数据的涌现，传统计算机对数据的处理能力已经达到瓶颈。然而，~#@机器学习@#~作为一门交叉学科，已经对众多领域产生了深远的影响。~#@机器学习@#~算法核心旨在提取有价值的数据训练生成模型，利用模型对数据进行预测与分析，并不断优化、提升模型的性能。同时，第二次量子科技革命催生出量子计算等新兴技术，其中量子计算因具有独特的性质（量子叠加性和并行性），能够实现对数...",,08,1750623;0178313;,CJFDAUTO,期刊,,,TXSJ,
CJFD,,,SCTC2409S2,000046324696;000038153799;000035606612;000024089916;000014843708;000023880514;000063972370,,遥感卫星任务智能决策的~#@机器学习@#~方法研究,0,2024-08-15,116,期刊,HTGC202404001,True,杨芳;景丽萍;黄敏;陈雄姿;田帅虎;王抒雁;张宝昕;,,,,2024,,遥感卫星;;任务智能决策;;机器学习;;样本模型,航天器工程,C031;I140;,遥感卫星任务智能是智能对地观测卫星系统(IEOS)的关键技术之一[1-3]。遥感卫星的任务决策通常采用地面或星上任务规划实现[4]。任务规划软件制定任务的决策策略，包括用户任务需求、卫星基本配置参数、地面系统可用资源、分系统约束条件、分系统间时序匹配、决策优化调度算法、最终指令生成等[5]。任务决策过程可以描述为任务规划软件根据用户需求和可用资源在满足当前卫星各分系统(如姿态控制、载荷、数传)匹配...,,04,0211502;0111847;,CJFDLAST2024,期刊,,,HTGC,
CJFD,,,cajtmp,000034867586;000064558810;000048120815;000032060123;000020366556,,~#@机器学习@#~在特殊教育研究中的应用与展望,0,2024-08-15,50,期刊,ZDTJ202408003,True,陈建军;李泓仪;刘佃振;李涛;宿淑华;,,,,2024,,机器学习;;特殊教育研究;;赋能;;未来展望,中国特殊教育,H127;H133;I138;,"1 引言
~#@机器学习@#~作为人工智能的重要分支，是一种通过算法使~#@机器@#~在经验数据中自动~#@学习@#~规律的计算机程序[1],其核心在于通过数据驱动的方法论，从大量数据中提取关键特征，并基于这些特征构建模型，从而在未知情境中做出智能响应[2]。在教育领域，~#@机器学习@#~已展现出其巨大的潜力，尤其在支持服务、教学预测、教育环境、教育评价、教学模式等方面[3],其优势已经得到了...",,08,0146229;0012645;1753967;0107442;,CJFDAUTO,期刊,,,ZDTJ,
CJFD,,,SCTB2409,000037020288;000032019169;000063622055;000055391935;000025663505;000017991989,,~#@机器学习@#~在环境分析检测中的应用研究进展,0,2024-08-13,380,期刊,TEST202408002,True,刘思思;张波;李星颖;辛蕾;应光国;陈长二;,,,,2024,,环境分析化学;;环境检测;;机器学习;;新污染物,分析测试学报,B027;I140;,人类工业革命以来，许多环境问题都直接或间接与化学品有关。化学品污染已被联合国环境规划署列为影响人类生存与发展的全球重大环境问题之一[1]。为了评价化学品排放到环境后对环境造成的影响，人们必须准确、及时地了解当前环境中已经发现的有毒物质浓度是否超过安全阈值？还存在哪些潜在的有毒物质？它们从何而来？进入环境后发生什么变化？可能造成什么危害？而要回答好这些问题，环境分析检测技术必不可缺。环境分析检测技术...,,08,0109513;1951901;,CJFDLAST2024,期刊,,,TEST,
