name,comp,chara,main_bene,adap_ill,usage,pre_cares
"铝镁加混悬液
                    ",用于缓解胃酸过多引起的胃痛、胃灼热感（烧心）、反酸，也可用于慢性胃炎,"
                        规格：15毫升：1.5克
                    ","本品每15毫升内含铝镁加1.5克，辅料为羧甲纤维素钠、甘油、蔗糖、微晶纤维素和羧甲基纤维素钠、薄荷素油
                        ",偶见便秘、腹泻或恶心,口服，成人一次1袋，一日3-4次。饭后1-2小时或睡前服用。用前摇匀。,1.本品连续使用不得超过7天，症状未缓解，请咨询医师或药师。2.儿童用量请咨询医师或药师。3.孕妇及哺乳期妇女应在医师指导下使用。4.肾功能不全、习惯性便秘者应在医师指导下使用。5.如服用过量或出现严重不良反应，应立即就医。6.对本品过敏者....
"苯磺酸克利加巴林胶囊
                    ",本品用于治疗成人糖尿病性周围神经病理性疼痛。,"
                        规格：20mg
                    ","本品活性成份:苯磺酸克利加巴林，辅料：微品纤维素、甘露醇、硬脂酸镁和明胶空心胶囊。
                        ","由于临床研究是在多种不同条件下进行的,在一个临床研究中观察到的不良反应的发生率不能与另一个临床研究观察到的不良反应发生率直接比较,该发生率也可能不能代表临床实践中观察到的实际发生率。","本品推荐剂量为每次20mg,每日2次。",头晕、嗜睡
"赞化鹿茸丸
                    ",补气养血，扶肾壮阳，调经祛寒。用于诸虛百损，心肾不交，阳痿不举，疝气腹痛，女子带下，胞寒不育，腰腿酸痛，,"
                        规格：9g*20丸
                    ","鹿茸（去毛）、当归、酸枣仁（炒）、鹿角霜、柏子仁、熟地黄、肉效蓉、鹿角胶、黄芪、附子（制）
                        ",尚不明确。,口服，一次1丸，一日2次,运动员慎用。
"倍长平考格列汀片
                    ",本品适用于改善成人2型糖尿病患者的血精控制。,"
                        规格：5 mg
                    ","甘露醇、微品纤维素、二丁基羟基甲苯、交联聚维酮、硬脂酸镁、薄膜包衣预混剂(胃溶型)。
                        ",安全性数据的汇总分析来源于两项为期52周的Ⅲ期临床试验，即一项本品单药治疗试验和一项本品与二甲双胍联合治疗试验，均包括24周的双自基础治疗期(单药研究为安慰剂对照，联合二甲双肌研究为利格列汀阳性对照)和 28周的开放延展治疗期(均统一服用本....,本品单药治疗或与二甲双胍联合治疗的推荐剂量为10mg，每两周(14天)一次，口服，不受进食限制。,本品不适用于1型糖尿病或糖尿病酮症酸中毒的患者。
"蜡样芽孢杆菌活菌胶囊
                    ",主要用于肠炎、腹泻、婴幼儿腹泻、肠功能紊乱的治疗。,"
                        规格：每粒0.25克,含活菌数不低于2.0x 108CFU。
                    ","本品每粒含无毒蜡样芽孢杆菌活菌不低于2.0 x108CFU。辅料为:乳糖、玉米淀粉。
                        ",尚不明确。,口服，成人一次2粒，一日3次。儿童剂量减半，服用时可倒出药粉加入少量温开水或奶液服用。,1.本品为活菌制剂，切勿将本品置于高温处。
"消银颗粒
                    ",清热凉血，养血润燥，祛风止痒。用于血热风燥型白疕和血虚风燥型白疕。症见皮疹为点滴状，基地鲜红色，表面覆有银白色鳞屑，或皮疹表面覆有较厚的银白色鳞屑，较干燥，基底淡红色瘙痒较深等。,"
                        规格：每袋装3.5g。(无糖型)
                    ","地黄、牡丹皮、赤芍、当归、苦参、金银花、玄参、牛蒡子、蝉蜕、白鲜皮、大青叶、红花、防风
                        ",消化系统：恶心、呕吐、腹胀、腹痛、腹泻、肝功能异常等；,开水冲服。一次3.5g，一日3次。一个月为一疗程。,①脾胃虚寒者慎用;
"健脑丸
                    ",补肾健脑，养血安神。用于心肾亏虚所致的记忆减退、头晕目眩、心悸失眠、腰膝痠软；老年轻度认知障碍见上述证候者。,"
                        规格：每10丸重1.5g
                    ","当归、天竺黄、肉苁蓉（盐炙）、龙齿（煅）、山药、琥珀、五味子（酒蒸）、天麻、柏子仁（炒）、丹参、益智仁（盐炒）、人参、远志（甘草水炙）、菊花、九节菖蒲、赭石、胆南星、酸枣仁（炒）、枸杞子。
                        ",尚不明确。,口服。一次5丸，一日2～3次，饭后服。,1.忌辛辣、生冷、油腻食物。2.感冒发热病人不宜服用。3.高血压、心脏病、肝病、糖尿病、肾病等慢性病患者应在医师指导下服用。4.服药2周症状无缓解，应去医院就诊。5.儿童应在医师指导下服用。6.对本品过敏者禁用，过敏体质者慎用。7.本品性状....
"固本延龄丸
                    ",固本培元，滋阴，补髓填精，强壮筋骨。用于虚劳损伤，腰痛体倦，心悸失眠，肌肤憔悴，须发早白，经血不调，食欲不振。,"
                        规格：每丸重9克
                    ","人参、麦冬、五味子、天冬、地黄、熟地黄、山药、泽泻、茯苓、牛膝、山茱萸、杜仲、木香、远志、柏子仁、巴戟天（盐制）、花椒、石菖蒲、丹参、肉苁蓉、枸杞子、覆盆子、地骨皮、鹿角胶、菟丝子、鱼鳔珠、珍珠、狗鞭。辅料为：蜂蜜。
                        ",尚不明确,早空腹用淡盐水送服。一次1丸，一日1次。,1、忌油腻食物。
"固本延龄丸
                    ",固本培元，滋阴，补髓填精，强壮筋骨。用于虚劳损伤，腰痛体倦，心悸失眠，肌肤憔悴，须发早白，经血不调，食欲不振。开心益智。延年益寿,"
                        规格：每瓶重9克
                    ","人参、麦冬、五味子、天冬、地黄、熟地黄、山药、泽泻、茯苓、牛膝、山茱萸、杜仲、木香、远志、柏子仁、巴戟天（盐制）、花椒、石菖蒲、丹参、肉苁蓉、枸杞子、覆盆子、地骨皮、鹿角胶、菟丝子、鱼鳔珠、珍珠、狗鞭。辅料为：蜂蜜。
                        ",尚不明确,早空腹用淡盐水送服。一次1瓶，一日1次,1、忌油腻食物。
"麝香活血化瘀膏
                    ",活血化瘀，消炎止痛。用于关节扭伤，软组织挫伤，急性腰扭伤，腰肌劳损，肩周炎，未溃冻疮，结节性红斑。,"
                        规格：7cm×10cm
                    ","人工麝香、三七、红花、丹参、硼酸、樟脑、血竭、尿素、颠茄流浸膏、盐酸苯海拉明、盐酸普鲁卡因。
                        ",尚不明确。,贴患处。二日更换1次。,尚不明确。
"克淋通胶囊
                    ",清热泻火，利尿通淋。用于湿热下注，热结膀胱所致的热淋，症见小便频数，尿急、尿痛、小腹胀痛，腰痛，苔黄腻，脉滑数。,"
                        规格：每粒装0.4g
                    ","头花蓼(四季红)、黄柏。

                        ",【不良反应】监测数据显示，本品可见恶心、呕吐、胃痛、腹泻、皮疹、瘙痒、头晕等不良反应。,口服，一次4~6粒，一日3次。,1.脾胃虚寒者慎用。
"舒腹贴膏
                    ",温中散寒，行气止痛。用于胃脘痛，腹痛腹胀，恶心，呕吐，食欲不振，肠鸣腹泻，小儿泄泻。,"
                        规格：6.5厘米×10厘米
                    ","樟脑、薄荷脑。辅料为：橡胶、松香、液状石蜡、氧化锌、抗氧剂。
                        ",偶有局部皮肤过敏、剥离、刺激反应。,揭去贴面隔衬，根据病情按穴位贴敷：（1）胃疼恶心呕吐者贴中脘、上脘、足三里、胃俞。（2）腹痛腹泻可贴神阙、下脘、天枢、足三里。（3）食欲不振，脾胃虚弱者常贴足三里。成人每次选贴2～3个穴位，2～4小时换一次。儿童每次选贴1～2个穴位，每穴1....,1.忌食生冷油腻不易消化食物。2.先将穴位处洗净，然后贴敷。3.用药三天后症状无改善者，应到医院就诊。4.如贴敷后有皮肤发红、局部痒者停用。5.孕妇慎用。6.对本品过敏者禁用，过敏体质者慎用。7.本品性状发生改变时禁止使用。8.儿童必须在成....
"青石颗粒
                    ",解表，化饮，清热止咳，平喘祛痰。用于表寒里饮化热所致的咳喘，症见恶寒发热，咳嗽喘促，痰稀色白、量多或淡黄。或用于上呼吸道感染，慢性支气管炎有上述证候者。,"
                        规格：每袋装10g
                    ","麻黄、桂枝、白芍、干姜、细辛、甘草、半夏(制)、五味子、石膏。辅料为玉米淀粉、蔗糖、低取代羟丙纤维素、羧甲淀粉钠。
                        ",尚不明确,开水冲服，一次10克，一日3次。7岁以下儿童服用1/2量。,1.忌烟、酒及辛辣、生冷、油腻食物。
