name,comp,chara,main_bene,adap_ill,usage,pre_cares
"盐酸达泊西汀片
                    ",本品适用于治疗符合下列所有条件的18至64岁男性早泄（PE）患者：,"
                        规格：按C21H23NO计：30mg
                    ","本品主要成份为盐酸达泊西汀，辅料：纤维素-乳糖、交联羧甲纤维素钠、二氧化硅、硬脂酸镁、薄膜包衣预混剂
                        ",在临床试验中已报道晕厥和直立性低血压的不良反应,口服。药片应整片吞下。建议患者至少用一满杯水送服药物。患者应尽量避免晕厥或头晕等前驱症状所引起的受伤。,本品仅用于患有早泄的男性患者。本品在未患有早泄的男性中的安全性尚不明确，同时，尚无有关本品在该人群中延迟射精作用的数据。
"九华膏
                    ",消肿、止痛、生肌、收口。适用于发炎肿痛的外痔、内痔嵌顿、直肠炎、肛窦    炎及内痔术后(压缩法、结扎法、枯痔法等)。,"
                        规格：每支装10g
                    ","滑石粉、硼砂、川贝母、龙骨、冰片、银朱。
                        ",有排便感。,每日早晚或大便后敷用或注入肛门内。,忌食辛辣食物。
"磷霉素氨丁三醇散
                    ",主要针对于男女生殖泌尿系感染，如支原体、衣原体、淋菌性、非淋菌性、滴虫性、细菌性、霉菌性、念球菌等引起的各种泌尿生殖感染；尿道炎、急慢性前列腺炎、睾丸炎、包皮炎、龟头炎、膀胱炎、疱疹、湿疣、肾盂肾炎；对阴道炎、盆腔炎、宫颈炎（糜烂）、子宫内....,"
                        规格：3g(300万单位)（按C3H7O4P计算）
                    ","本品成份磷霉素氨丁三醇。

                        ",1.主要为轻度为胃肠道反应，如恶心、纳差、中上腹不适、稀便或轻度腹泻，一般不影响继续用药。 2.偶可发生皮疹、嗜酸性粒细胞增多、周围血象红细胞、血小板一过性降低、白细胞降低、血清氨基转移酶一过性升高、头晕、头痛等反应。 3.注射部位静脉炎。....,服用方法：服用前，倒入适量饮用水，摇晃让粉剂充分溶解，即可直接服用。 1 瓶 / 天。,1. 肝病患者慎用。
"甲磺酸培氟沙星胶囊
                    ",由培氟沙星敏感菌所致的各种感染：尿路感染；呼吸道感染；耳、鼻、喉感染；妇科、生殖系统感染；腹部和肝、胆系统感染；骨和关节感染；皮肤感染；败血症和心内膜炎；脑膜炎。,"
                        规格：0.2g*12粒
                    ","本品主要成份为甲磺酸培氟沙星。
                        ",1.胃肠道反应较为常见，可表现为腹部不适或疼痛、腹泻、恶心或呕吐。2.中枢神经系统反应可有头昏、头痛、嗜睡或失眠。3.过敏反应：皮疹、皮肤瘙痒，偶可发生渗出性多形性红斑及血管神经性水肿。少数患者有光敏反应。,口服。成人一日0.2～0.4g，一日2次。,尚不明确。
"辛伐他汀片
                    ",高脂血症对于原发性高胆固醇血症包括杂合子家族性高胆固醇血症、高脂血症或混合性高脂血症的患者，当饮食控制及其它非药物治疗不理想时，结合饮食控制，本品可用于降低升高的总胆固醇、低密度脂蛋白胆固醇、载脂蛋白B和甘油三酯，且可升高高密度脂蛋白胆固醇....,"
                        规格：20mg*10片
                    ","本品主要成份及其化学名称为：辛伐他汀，[1S-[1α，3α，7β，8β，（2S*，4S*）8αβ]]－1，2，3，7，8，8a-六氢-3，7-二甲基-8-[2－（四氢-4-羟基-6-氧代-2H-吡喃-2-基）乙基]-1-萘基-2，2-二甲基丁酸酯。
                        ",在无对照临床研究或上市后的应用中报道过下列不良反应：恶心、腹泻、皮疹、消化不良、瘙痒、脱发、晕眩、肌肉痉挛、肌痛、胰腺炎、感觉异常、外周神经病变、失眠、抑郁、呕吐，贫血，勃起功能障碍和间质性肺病。极少发生横纹肌溶解和肝炎/黄疸，有致命及非致....,患者接受本品治疗以前，应接受标准的降胆固醇饮食并在治疗过程中继续维持。推荐的起始剂量为每天5-40mg，晚间一次服用。对于因存在冠心病、糖尿病、周围血管疾病、中风或其他脑血管疾病史而属于CHD事件高危人群患者，推荐的起始剂量为每天10mg或....,肌病/横纹肌溶解辛伐他汀偶尔能引起肌病，表现为肌肉痛、触痛或乏力，并伴随肌酸激酶（CK）升高，超过正常上限的10倍。肌病有时形成横纹肌溶解，伴或不伴继发于肌红蛋白尿的急性肾衰竭，由此发生的致命性事件极少。血浆中HMG-CoA还原酶抑制剂水平....
"枸橼酸氯米芬胶囊
                    ",1.治疗无排卵的女性不育症，适用于体内有一定雌激素水平者；2.治疗黄体功能不足；3.测试卵巢功能；4.探测男性下丘脑-垂体-性腺轴的功能异常；5.治疗因精子过少的男性不育。,"
                        规格：50mg*20粒
                    ","本品主要成份为：枸橼酸氯米芬，其化学名称为：N,N-二乙基-2-{4-（1,2-二苯基-2-氯乙烯基）苯氧基}乙胺顺反异钩体混合物的枸橼酸盐。
                        ",1、较常见的不良反应有肿胀胃痛盆腔或下腹部痛(囊肿形成或卵巢纤维瘤增大较明显的卵巢增大一般发生在停药后数天)。2、较少见的有视力模糊复视眼前感到闪光眼睛对光敏感视力减退皮肤和巩膜黄染。3、下列反应持续存在时应予以注意潮热乳房不适便秘或腹泻头....,口服每日1粒(50mg)，共5日。自月经周期的第5天开始服药。若患者系闭经，则应先用黄体酮撤退性出血的第5天始服用。患者在治疗后有排卵但未受孕可重复原治疗的疗程，直到受孕，或重复3～4个疗程。若患者在治疗后无排卵，在下一次的疗程中剂量可增加....,1、动物实验证明枸橼酸氯米芬胶囊可致畸胎在用药期间应每日测量基础体温以监测患者的排卵与受孕一旦受孕立即停药。2、多囊卵巢综合征慎用。3、用药期间按需进行下列测定。(1)促排卵激素(FSH)及促黄体生成激素(LH)。(2)长期用药者测定血浆内....
"海龙胶
                    ",温肾壮阳，活血止痛，填精补髓，强壮腰膝。用于腰酸足软，精神萎靡，面包晄白；男子阳痿遗精，女子宫冷不孕。,"
                        规格：250g
                    ","海龙、黄明胶、肉苁蓉、枸杞子，肉桂、黄芪、当归、川芎，白芍、陈皮，甘草。
                        ",1.忌辛辣、生冷、油腻食物。2.感冒发热病人不宜服用。3.本品宜饭前服用。4.高血压、心脏病、肝病、肾病等慢性病息者应在医师指导下服用。5.服药2周症状无缓解，应去医院就诊。6.对本品过敏者禁用.过敏体质者慎用。7.本品性状发生改变时禁止使....,一次6-9克，一日1-2次，烊化兑服。,['无']
"宫宁颗粒
                    ",化瘀清热，止血固经。用于瘀热证所致的月经过多、经期延长；宫内节育器出血副反应见上述证候者。,"
                        规格：10g*6袋
                    ","茜草、蒲黄、三七等十一味中药。
                        ",经临床实验未发现有任何不良反应。,温开水冲服。一次1袋，一日3次。1.用于经期过长、月经过多的患者，于月经来潮前1-3天开始服用，服用5-7天有效者服用三个月经周期可防止复发。2.用于药物流产、人工流产后的出血过多及子宫的修复，于流产后第一天开始服用，连服7天。3.用于生产....,尚不明确。
"强身萝菠甫赛河里蜜膏
                    ",温补脑、肾，填补精液。用于性欲不振，精少肢软，腰酸形瘦，神经衰弱等。,"
                        规格：100g
                    ","白皮松子仁、阿月浑子、欧榛、巴旦仁、*子、芝麻、甜瓜子、白蜡树子、肉桂、大叶补血草、黄瓜子、欧矢车菊根等十四味。
                        ",尚不明确。,口服，一次6g，一日2次，连续服用7天以上。,尚不明确。
"盐酸左氧氟沙星片
                    ",本品适用于敏感细菌所引起的下列轻、中度感染：呼吸系统感染：急性支气管炎、慢性支气管炎、慢性支气管炎急性发作、弥漫性支气管炎、支气管扩张合并感染、肺炎、咽喉炎、扁桃体炎（扁桃体周围脓肿）。泌尿系统感染：肾盂肾炎、复杂性尿路感染等；生殖系统感染....,"
                        规格：0.1g*8片
                    ","盐酸左氧氟沙星。
                        ",用药期间可能出现恶心，呕吐，腹部不适，腹泻，食欲不振，腹痛，腹胀等症状，失眠、头晕、头痛等神经系统症状和皮疹、搔痒等症状。亦可出现一过性肝功能异常，如血清转氨酶增高、血清总胆红素升高等。上述不良反应发生率在0.1～5％之间。偶见血中尿素氮上....,口服，成人每日1~2粒（0.1~0.2g），每日两次。病情偏重者可增为每日三次。另外，可根据感染的种类及症状适当增减。,1．肾功能不全者应减量或者延长给药间期，重度肾功能不全者慎用。2．有中枢神经系统疾病及癫痫史患者应慎用。3．喹诺酮类药物尚可引起少见的光毒性反应（发生率＜0.1％）。在接受本品治疗时应避免过度阳光曝晒和人工紫外线。如出现光敏反应或皮肤损伤应....
